id,top 1,top 2,top 3,date
0,4,14,14,7/10/2012
1,7,15,18,14/10/2012
2,5,12,15,21/10/2012
3,5,15,12,28/10/2012
4,4,12,12,4/11/2012
5,4,14,10,11/11/2012
6,4,12,12,18/11/2012
7,7,14,15,25/11/2012
8,4,17,15,2/12/2012
9,3,14,10,9/12/2012
10,5,9,11,16/12/2012
11,7,13,11,23/12/2012
12,6,14,14,30/12/2012
13,4,11,11,6/01/2013
14,4,13,16,13/01/2013
15,5,16,15,20/01/2013
16,4,16,13,27/01/2013
17,4,18,14,3/02/2013
18,5,14,15,10/02/2013
19,3,19,15,17/02/2013
20,3,19,13,24/02/2013
21,6,18,13,3/03/2013
22,4,20,16,10/03/2013
23,5,16,15,17/03/2013
24,3,14,16,24/03/2013
25,5,18,18,31/03/2013
26,5,15,15,7/04/2013
27,4,17,18,14/04/2013
28,5,17,15,21/04/2013
29,4,14,16,28/04/2013
30,3,19,14,5/05/2013
31,4,15,14,12/05/2013
32,4,20,15,19/05/2013
33,3,16,16,26/05/2013
34,4,16,17,2/06/2013
35,5,16,15,9/06/2013
36,3,16,12,16/06/2013
37,4,20,13,23/06/2013
38,3,16,12,30/06/2013
39,5,16,13,7/07/2013
40,3,16,14,14/07/2013
41,4,14,15,21/07/2013
42,4,18,15,28/07/2013
43,4,16,14,4/08/2013
44,4,20,17,11/08/2013
45,6,17,18,18/08/2013
46,3,18,14,25/08/2013
47,3,17,16,1/09/2013
48,4,18,16,8/09/2013
49,4,15,16,15/09/2013
50,6,18,13,22/09/2013
51,5,17,14,29/09/2013
52,6,15,17,6/10/2013
53,6,16,15,13/10/2013
54,6,17,16,20/10/2013
55,5,16,16,27/10/2013
56,4,15,14,3/11/2013
57,3,13,14,10/11/2013
58,6,14,17,17/11/2013
59,5,18,13,24/11/2013
60,4,15,11,1/12/2013
61,5,11,18,8/12/2013
62,5,14,13,15/12/2013
63,4,10,13,22/12/2013
64,3,14,13,29/12/2013
65,5,15,13,5/01/2014
66,3,14,18,12/01/2014
67,5,15,14,19/01/2014
68,6,16,16,26/01/2014
69,4,16,15,2/02/2014
70,5,17,17,9/02/2014
71,3,17,15,16/02/2014
72,4,20,16,23/02/2014
73,4,20,18,2/03/2014
74,4,21,17,9/03/2014
75,5,19,16,16/03/2014
76,5,22,16,23/03/2014
77,3,22,23,30/03/2014
78,5,19,16,6/04/2014
79,3,21,17,13/04/2014
80,4,22,21,20/04/2014
81,4,18,23,27/04/2014
82,4,17,20,4/05/2014
83,5,20,24,11/05/2014
84,4,21,24,18/05/2014
85,5,21,21,25/05/2014
86,5,20,23,1/06/2014
87,3,21,26,8/06/2014
88,4,20,25,15/06/2014
89,3,21,23,22/06/2014
90,4,21,21,29/06/2014
91,4,20,25,6/07/2014
92,5,21,27,13/07/2014
93,4,23,27,20/07/2014
94,5,23,27,27/07/2014
95,5,23,19,3/08/2014
96,4,18,22,10/08/2014
97,5,16,21,17/08/2014
98,4,21,19,24/08/2014
99,6,22,20,31/08/2014
100,5,17,21,7/09/2014
101,6,19,17,14/09/2014
102,4,17,16,21/09/2014
103,6,21,21,28/09/2014
104,3,17,20,5/10/2014
105,5,19,21,12/10/2014
106,5,23,19,19/10/2014
107,4,19,14,26/10/2014
108,3,16,16,2/11/2014
109,5,17,15,9/11/2014
110,5,16,18,16/11/2014
111,5,15,18,23/11/2014
112,5,13,14,30/11/2014
113,6,16,19,7/12/2014
114,6,15,15,14/12/2014
115,5,11,13,21/12/2014
116,6,13,20,28/12/2014
117,6,15,17,4/01/2015
118,5,15,16,11/01/2015
119,5,16,15,18/01/2015
120,5,23,15,25/01/2015
121,5,21,20,1/02/2015
122,4,20,20,8/02/2015
123,5,18,20,15/02/2015
124,4,21,20,22/02/2015
125,3,18,23,1/03/2015
126,4,24,22,8/03/2015
127,3,19,19,15/03/2015
128,5,21,26,22/03/2015
129,5,21,24,29/03/2015
130,6,22,26,5/04/2015
131,7,24,29,12/04/2015
132,8,26,27,19/04/2015
133,8,24,27,26/04/2015
134,6,19,31,3/05/2015
135,7,26,32,10/05/2015
136,6,22,26,17/05/2015
137,7,25,30,24/05/2015
138,8,22,29,31/05/2015
139,8,29,29,7/06/2015
140,7,27,30,14/06/2015
141,6,29,29,21/06/2015
142,5,29,34,28/06/2015
143,8,32,27,5/07/2015
144,8,27,29,12/07/2015
145,10,30,28,19/07/2015
146,11,28,27,26/07/2015
147,10,26,25,2/08/2015
148,11,29,29,9/08/2015
149,11,26,23,16/08/2015
150,11,27,30,23/08/2015
151,12,27,23,30/08/2015
152,10,26,24,6/09/2015
153,13,25,24,13/09/2015
154,17,26,21,20/09/2015
155,17,27,21,27/09/2015
156,15,26,21,4/10/2015
157,17,23,25,11/10/2015
158,18,21,23,18/10/2015
159,18,24,22,25/10/2015
160,15,19,20,1/11/2015
161,17,22,22,8/11/2015
162,15,20,31,15/11/2015
163,20,22,28,22/11/2015
164,23,25,23,29/11/2015
165,19,26,22,6/12/2015
166,18,25,17,13/12/2015
167,19,20,18,20/12/2015
168,26,24,21,27/12/2015
169,24,23,23,3/01/2016
170,21,25,25,10/01/2016
171,29,26,24,17/01/2016
172,27,25,23,24/01/2016
173,27,27,29,31/01/2016
174,26,25,31,7/02/2016
175,26,30,27,14/02/2016
176,29,41,30,21/02/2016
177,28,38,29,28/02/2016
178,27,42,28,6/03/2016
179,29,45,32,13/03/2016
180,26,40,31,20/03/2016
181,29,51,32,27/03/2016
182,26,48,30,3/04/2016
183,26,53,32,10/04/2016
184,25,52,34,17/04/2016
185,26,67,36,24/04/2016
186,26,61,38,1/05/2016
187,23,64,32,8/05/2016
188,23,67,41,15/05/2016
189,23,74,37,22/05/2016
190,22,77,32,29/05/2016
191,19,88,39,5/06/2016
192,19,78,37,12/06/2016
193,24,83,40,19/06/2016
194,26,92,34,26/06/2016
195,23,84,32,3/07/2016
196,23,97,33,10/07/2016
197,20,98,38,17/07/2016
198,24,91,39,24/07/2016
199,23,93,37,31/07/2016
200,19,91,28,7/08/2016
201,24,82,29,14/08/2016
202,18,78,32,21/08/2016
203,21,80,34,28/08/2016
204,21,86,33,4/09/2016
205,21,87,28,11/09/2016
206,24,81,29,18/09/2016
207,21,67,25,25/09/2016
208,23,70,26,2/10/2016
209,24,72,28,9/10/2016
210,23,61,27,16/10/2016
211,20,60,28,23/10/2016
212,20,48,27,30/10/2016
213,18,52,26,6/11/2016
214,21,55,25,13/11/2016
215,25,58,27,20/11/2016
216,28,61,25,27/11/2016
217,18,61,27,4/12/2016
218,19,55,22,11/12/2016
219,21,48,25,18/12/2016
220,27,57,24,25/12/2016
221,20,45,20,1/01/2017
222,23,49,24,8/01/2017
223,22,48,29,15/01/2017
224,24,48,25,22/01/2017
225,20,54,31,29/01/2017
226,18,55,24,5/02/2017
227,19,51,24,12/02/2017
228,21,59,28,19/02/2017
229,21,70,32,26/02/2017
230,21,66,31,5/03/2017
231,22,72,31,12/03/2017
232,22,72,31,19/03/2017
233,19,80,32,26/03/2017
234,23,81,35,2/04/2017
235,18,98,30,9/04/2017
236,22,90,38,16/04/2017
237,24,80,36,23/04/2017
238,19,82,36,30/04/2017
239,19,80,36,7/05/2017
240,19,88,40,14/05/2017
241,16,97,37,21/05/2017
242,21,100,41,28/05/2017
243,19,86,42,4/06/2017
244,20,96,43,11/06/2017
245,17,97,39,18/06/2017
246,18,95,37,25/06/2017
247,21,88,39,2/07/2017
248,21,92,40,9/07/2017
249,19,89,37,16/07/2017
250,19,96,37,23/07/2017
251,20,87,35,30/07/2017
252,19,77,36,6/08/2017
253,20,74,35,13/08/2017
254,19,73,34,20/08/2017
255,17,74,36,27/08/2017
256,18,72,35,3/09/2017
257,17,67,37,10/09/2017
258,18,66,32,17/09/2017
259,19,62,31,24/09/2017
260,20,78,27,1/10/2017
